t,i,j,k,v,q
2017,860,156,010121,1250.50,210
2017,156,840,070200,8400.00,4200
2017,276,250,090111,3200.25,850
2017,840,276,270900,18500.00,12500
2017,250,860,870323,7200.00,120
2018,860,156,010121,1325.00,215
2018,156,840,070200,8750.00,4300
2018,276,250,090111,3350.00,875
2018,840,276,270900,19200.00,12800
2018,250,860,870323,7550.00,124
2019,860,156,010121,1410.00,220
2019,156,840,070200,9100.00,4400
2019,276,250,090111,3480.00,900
2019,840,276,270900,20100.00,13100
2019,250,860,870323,7900.00,128
2020,860,156,010121,1180.00,
2020,156,840,070200,8200.00,4050
2020,276,250,090111,3100.00,820
2020,840,276,270900,17600.00,11900
2020,250,860,870323,6800.00,110
2021,860,156,010121,1520.00,230
2021,156,840,070200,9650.00,4550
2021,276,250,090111,3700.00,940
2021,840,276,270900,22400.00,13900
2021,250,860,870323,8500.00,134
2022,860,156,010121,1680.00,240
2022,156,840,070200,10200.00,4700
2022,276,250,090111,3980.00,980
2022,840,276,270900,25100.00,14800
2022,250,860,870323,9200.00,142
2023,860,156,010121,1790.00,248
2023,156,840,070200,10850.00,4850
2023,276,250,090111,4250.00,1020
2023,840,276,270900,26800.00,15400
2023,250,860,870323,9900.00,150
2024,860,156,010121,1950.00,260
2024,156,840,070200,11500.00,5000
2024,276,250,090111,4600.00,1080
2024,840,276,270900,28400.00,16000
2024,250,860,870323,10600.00,158
